Run on (4 X 2300 MHz CPU s)
2017-01-30 15:11:55
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_cache_size/1",2074837,337.41,337.362,ns,6.07359e+09,,,,
"BM_cache_size/2",2074725,337.44,337.375,ns,6.07336e+09,,,,
"BM_cache_size/3",2074792,337.363,337.321,ns,6.07433e+09,,,,
"BM_cache_size/4",2074642,337.369,337.333,ns,6.07412e+09,,,,
"BM_cache_size/5",2075099,337.351,337.313,ns,6.07447e+09,,,,
"BM_cache_size/6",2075012,337.36,337.325,ns,6.07426e+09,,,,
"BM_cache_size/7",2015237,337.527,337.439,ns,6.07221e+09,,,,
"BM_cache_size/8",2074756,337.358,337.317,ns,6.0744e+09,,,,
"BM_cache_size/9",2075121,337.356,337.319,ns,6.07437e+09,,,,
"BM_cache_size/10",2075181,337.378,337.34,ns,6.07399e+09,,,,
"BM_cache_size/11",2075257,337.448,337.396,ns,6.07299e+09,,,,
"BM_cache_size/12",2074857,337.419,337.375,ns,6.07335e+09,,,,
"BM_cache_size/13",2074990,337.342,337.303,ns,6.07466e+09,,,,
"BM_cache_size/14",2074751,337.423,337.376,ns,6.07334e+09,,,,
"BM_cache_size/15",2075029,337.336,337.297,ns,6.07476e+09,,,,
"BM_cache_size/17",2075006,337.435,337.384,ns,6.07321e+09,,,,
"BM_cache_size/18",2074904,337.391,337.353,ns,6.07376e+09,,,,
"BM_cache_size/19",2074884,337.353,337.316,ns,6.07443e+09,,,,
"BM_cache_size/21",2075156,337.353,337.314,ns,6.07446e+09,,,,
"BM_cache_size/22",2075058,337.346,337.304,ns,6.07464e+09,,,,
"BM_cache_size/24",2074881,337.363,337.321,ns,6.07433e+09,,,,
"BM_cache_size/25",2075200,337.365,337.323,ns,6.0743e+09,,,,
"BM_cache_size/27",2075198,337.333,337.298,ns,6.07475e+09,,,,
"BM_cache_size/29",2075164,337.371,337.317,ns,6.0744e+09,,,,
"BM_cache_size/31",2075156,337.365,337.32,ns,6.07435e+09,,,,
"BM_cache_size/34",2075183,337.369,337.322,ns,6.07431e+09,,,,
"BM_cache_size/36",2075022,337.352,337.315,ns,6.07443e+09,,,,
"BM_cache_size/39",2074984,337.414,337.374,ns,6.07337e+09,,,,
"BM_cache_size/42",2075148,337.336,337.302,ns,6.07468e+09,,,,
"BM_cache_size/45",2075100,337.44,337.392,ns,6.07306e+09,,,,
"BM_cache_size/48",2074927,337.324,337.29,ns,6.0749e+09,,,,
"BM_cache_size/51",2074615,337.348,337.311,ns,6.07452e+09,,,,
"BM_cache_size/55",2075152,337.345,337.306,ns,6.0746e+09,,,,
"BM_cache_size/59",2075119,337.343,337.304,ns,6.07464e+09,,,,
"BM_cache_size/63",2075043,337.384,337.343,ns,6.07394e+09,,,,
"BM_cache_size/68",2075132,337.353,337.315,ns,6.07445e+09,,,,
"BM_cache_size/73",2075171,337.369,337.325,ns,6.07426e+09,,,,
"BM_cache_size/78",2074999,337.358,337.317,ns,6.0744e+09,,,,
"BM_cache_size/84",2075141,337.406,337.364,ns,6.07355e+09,,,,
"BM_cache_size/90",2074463,337.338,337.304,ns,6.07464e+09,,,,
"BM_cache_size/97",2075093,337.367,337.324,ns,6.07428e+09,,,,
"BM_cache_size/103",2074738,337.447,337.396,ns,6.07299e+09,,,,
"BM_cache_size/111",2074588,337.344,337.307,ns,6.07459e+09,,,,
"BM_cache_size/119",2074852,337.381,337.341,ns,6.07398e+09,,,,
"BM_cache_size/127",2075113,337.417,337.373,ns,6.0734e+09,,,,
"BM_cache_size/137",2074638,337.386,337.346,ns,6.07389e+09,,,,
"BM_cache_size/147",2075093,337.355,337.32,ns,6.07435e+09,,,,
"BM_cache_size/157",2075172,337.406,337.358,ns,6.07367e+09,,,,
"BM_cache_size/168",2075015,337.401,337.365,ns,6.07355e+09,,,,
"BM_cache_size/181",2075212,337.355,337.315,ns,6.07445e+09,,,,
"BM_cache_size/194",2075091,337.383,337.34,ns,6.07399e+09,,,,
"BM_cache_size/207",2075077,337.393,337.343,ns,6.07394e+09,,,,
"BM_cache_size/222",2075137,337.386,337.343,ns,6.07393e+09,,,,
"BM_cache_size/238",2075044,337.345,337.307,ns,6.07458e+09,,,,
"BM_cache_size/255",2075097,337.353,337.317,ns,6.07441e+09,,,,
"BM_cache_size/274",2074345,337.409,337.364,ns,6.07356e+09,,,,
"BM_cache_size/294",2075140,337.337,337.302,ns,6.07467e+09,,,,
"BM_cache_size/315",2075040,337.415,337.365,ns,6.07354e+09,,,,
"BM_cache_size/337",2074515,337.377,337.331,ns,6.07416e+09,,,,
"BM_cache_size/362",2074838,337.355,337.317,ns,6.07441e+09,,,,
"BM_cache_size/388",2075154,337.377,337.337,ns,6.07405e+09,,,,
"BM_cache_size/415",2075173,337.419,337.368,ns,6.07348e+09,,,,
"BM_cache_size/445",2074899,337.452,337.39,ns,6.0731e+09,,,,
"BM_cache_size/477",2075089,337.367,337.328,ns,6.07421e+09,,,,
"BM_cache_size/511",2074851,337.392,337.343,ns,6.07394e+09,,,,
"BM_cache_size/548",2075053,337.356,337.32,ns,6.07435e+09,,,,
"BM_cache_size/588",2074768,337.423,337.368,ns,6.0735e+09,,,,
"BM_cache_size/630",2074877,337.408,337.37,ns,6.07346e+09,,,,
"BM_cache_size/675",2074618,337.392,337.348,ns,6.07384e+09,,,,
"BM_cache_size/724",2074053,337.451,337.409,ns,6.07275e+09,,,,
"BM_cache_size/776",2074655,337.433,337.392,ns,6.07306e+09,,,,
"BM_cache_size/831",2074166,337.483,337.421,ns,6.07253e+09,,,,
"BM_cache_size/891",2074539,337.488,337.44,ns,6.0722e+09,,,,
"BM_cache_size/955",2048954,342.749,342.698,ns,5.97902e+09,,,,
"BM_cache_size/1023",2050429,341.612,341.57,ns,5.99878e+09,,,,
