Run on (4 X 3200 MHz CPU s)
2017-01-30 15:07:08
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_cache_size/1",1668346,408.733,408.411,ns,5.017e+09,,,,
"BM_cache_size/2",1728391,396.742,396.703,ns,5.16507e+09,,,,
"BM_cache_size/3",1727779,436.679,436.662,ns,4.69242e+09,,,,
"BM_cache_size/4",1715149,402.632,402.641,ns,5.0889e+09,,,,
"BM_cache_size/5",1728569,408.319,408.329,ns,5.01802e+09,,,,
"BM_cache_size/6",1860667,403.404,403.413,ns,5.07916e+09,,,,
"BM_cache_size/7",1770302,392.682,392.691,ns,5.21784e+09,,,,
"BM_cache_size/8",1727808,364.193,364.201,ns,5.62601e+09,,,,
"BM_cache_size/9",1724036,408.588,408.597,ns,5.01472e+09,,,,
"BM_cache_size/10",1727632,398.866,398.875,ns,5.13695e+09,,,,
"BM_cache_size/11",1875743,391.158,391.167,ns,5.23817e+09,,,,
"BM_cache_size/12",1753301,385.76,385.769,ns,5.31147e+09,,,,
"BM_cache_size/13",1773483,408.861,408.871,ns,5.01136e+09,,,,
"BM_cache_size/14",1714317,368.894,368.902,ns,5.55432e+09,,,,
"BM_cache_size/15",1724412,394.072,394.081,ns,5.19943e+09,,,,
"BM_cache_size/17",1787537,399.161,399.17,ns,5.13315e+09,,,,
"BM_cache_size/18",1721068,407.663,407.672,ns,5.0261e+09,,,,
"BM_cache_size/19",1710098,394.066,394.075,ns,5.19951e+09,,,,
"BM_cache_size/21",1748303,380.253,380.262,ns,5.3884e+09,,,,
"BM_cache_size/22",1733077,405.894,405.903,ns,5.048e+09,,,,
"BM_cache_size/24",1731836,408.182,408.191,ns,5.01971e+09,,,,
"BM_cache_size/25",1714400,396.43,396.439,ns,5.16851e+09,,,,
"BM_cache_size/27",1754903,398.51,398.512,ns,5.14163e+09,,,,
"BM_cache_size/29",1767538,395.502,395.511,ns,5.18064e+09,,,,
"BM_cache_size/31",1721778,400.491,400.501,ns,5.1161e+09,,,,
"BM_cache_size/34",1713223,408.026,408.035,ns,5.02162e+09,,,,
"BM_cache_size/36",1710387,389.824,389.833,ns,5.2561e+09,,,,
"BM_cache_size/39",1715630,393.02,393.03,ns,5.21335e+09,,,,
"BM_cache_size/42",1732208,406.636,406.645,ns,5.03879e+09,,,,
"BM_cache_size/45",1708790,406.431,406.44,ns,5.04133e+09,,,,
"BM_cache_size/48",1765408,397.614,397.623,ns,5.15312e+09,,,,
"BM_cache_size/51",1732881,404.595,404.593,ns,5.06435e+09,,,,
"BM_cache_size/55",1758920,404.674,404.683,ns,5.06322e+09,,,,
"BM_cache_size/59",1710824,399.019,399.029,ns,5.13497e+09,,,,
"BM_cache_size/63",1711437,408.037,408.046,ns,5.02149e+09,,,,
"BM_cache_size/68",1714772,406.008,406.018,ns,5.04658e+09,,,,
"BM_cache_size/73",1724983,407.391,407.401,ns,5.02944e+09,,,,
"BM_cache_size/78",1718096,408.336,408.346,ns,5.01781e+09,,,,
"BM_cache_size/84",1709020,399.903,399.912,ns,5.12362e+09,,,,
"BM_cache_size/90",1719025,403.418,403.428,ns,5.07898e+09,,,,
"BM_cache_size/97",1736404,407.275,407.284,ns,5.03088e+09,,,,
"BM_cache_size/103",1713543,406.873,406.883,ns,5.03584e+09,,,,
"BM_cache_size/111",1718650,407.819,407.829,ns,5.02417e+09,,,,
"BM_cache_size/119",1715656,404.791,404.8,ns,5.06176e+09,,,,
"BM_cache_size/127",1721964,408.545,408.554,ns,5.01524e+09,,,,
"BM_cache_size/137",1718196,398.191,398.2,ns,5.14565e+09,,,,
"BM_cache_size/147",1769773,408.071,408.081,ns,5.02106e+09,,,,
"BM_cache_size/157",1734737,406.01,406.02,ns,5.04655e+09,,,,
"BM_cache_size/168",1724594,406.966,406.976,ns,5.0347e+09,,,,
"BM_cache_size/181",1732619,407.786,407.796,ns,5.02458e+09,,,,
"BM_cache_size/194",1738757,401.3,401.31,ns,5.10578e+09,,,,
