Run on (2 X 3400 MHz CPU s)
2017-01-30 15:08:56
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_cache_size/1",2519437,270.643,270.482,ns,7.57536e+09,,,,
"BM_cache_size/2",2553146,273.193,272.967,ns,7.50642e+09,,,,
"BM_cache_size/3",2540386,270.398,270.27,ns,7.58131e+09,,,,
"BM_cache_size/4",2620235,273.014,272.904,ns,7.50812e+09,,,,
"BM_cache_size/5",2514592,276.136,276.067,ns,7.42211e+09,,,,
"BM_cache_size/6",2532225,276.11,276.033,ns,7.42302e+09,,,,
"BM_cache_size/7",2508657,275.549,275.402,ns,7.44003e+09,,,,
"BM_cache_size/8",2538510,277.459,277.393,ns,7.38663e+09,,,,
"BM_cache_size/9",2524634,308.491,304.992,ns,6.71821e+09,,,,
"BM_cache_size/10",2458793,291.138,291.138,ns,7.03791e+09,,,,
"BM_cache_size/11",2554275,276.76,276.758,ns,7.40359e+09,,,,
"BM_cache_size/12",2544722,275.687,275.685,ns,7.43241e+09,,,,
"BM_cache_size/13",2533154,276.705,276.696,ns,7.40524e+09,,,,
"BM_cache_size/14",2516729,277.678,277.677,ns,7.37908e+09,,,,
"BM_cache_size/15",2533817,276.257,276.239,ns,7.41749e+09,,,,
"BM_cache_size/17",2543388,271.073,271.072,ns,7.55889e+09,,,,
"BM_cache_size/18",2531751,274.245,274.241,ns,7.47152e+09,,,,
"BM_cache_size/19",2552420,274.36,274.359,ns,7.46832e+09,,,,
"BM_cache_size/21",2519775,271.778,271.778,ns,7.53925e+09,,,,
"BM_cache_size/22",2603307,269.854,269.853,ns,7.59302e+09,,,,
"BM_cache_size/24",2594806,270.291,270.288,ns,7.58079e+09,,,,
"BM_cache_size/25",2618295,268.24,268.239,ns,7.6387e+09,,,,
"BM_cache_size/27",2602396,268.842,268.842,ns,7.62158e+09,,,,
"BM_cache_size/29",2624830,269.916,269.915,ns,7.59128e+09,,,,
"BM_cache_size/31",2621000,266.752,266.748,ns,7.68142e+09,,,,
"BM_cache_size/34",2606879,267.082,267.081,ns,7.67182e+09,,,,
"BM_cache_size/36",2594026,267.963,267.962,ns,7.6466e+09,,,,
"BM_cache_size/39",2597619,267.365,267.338,ns,7.66446e+09,,,,
"BM_cache_size/42",2603980,272.808,272.801,ns,7.51096e+09,,,,
"BM_cache_size/45",2565728,270.292,270.291,ns,7.58071e+09,,,,
"BM_cache_size/48",2571156,270.068,270.067,ns,7.587e+09,,,,
"BM_cache_size/51",2610429,267.101,267.101,ns,7.67126e+09,,,,
"BM_cache_size/55",2612927,285.613,285.608,ns,7.17416e+09,,,,
"BM_cache_size/59",2549177,275.227,275.226,ns,7.44479e+09,,,,
"BM_cache_size/63",2523798,278.816,278.815,ns,7.34896e+09,,,,
"BM_cache_size/68",2545069,273.908,273.907,ns,7.48064e+09,,,,
"BM_cache_size/73",2546457,273.258,273.256,ns,7.49847e+09,,,,
"BM_cache_size/78",2524664,277.318,277.314,ns,7.38873e+09,,,,
"BM_cache_size/84",2508762,276.995,276.994,ns,7.39726e+09,,,,
"BM_cache_size/90",2523564,276.307,276.307,ns,7.41567e+09,,,,
"BM_cache_size/97",2508045,277.009,277.005,ns,7.39697e+09,,,,
"BM_cache_size/103",2497784,278.159,278.159,ns,7.3663e+09,,,,
"BM_cache_size/111",2516318,277.363,277.362,ns,7.38745e+09,,,,
"BM_cache_size/119",2537666,276.192,276.192,ns,7.41876e+09,,,,
"BM_cache_size/127",2533444,279.125,279.121,ns,7.3409e+09,,,,
"BM_cache_size/137",2548507,273.357,273.356,ns,7.49571e+09,,,,
"BM_cache_size/147",2552628,274.727,274.726,ns,7.45834e+09,,,,
"BM_cache_size/157",2534672,275.118,275.117,ns,7.44775e+09,,,,
"BM_cache_size/168",2534028,279.521,279.51,ns,7.33069e+09,,,,
"BM_cache_size/181",2536312,278.015,278.015,ns,7.37011e+09,,,,
"BM_cache_size/194",2525746,276.042,276.041,ns,7.42281e+09,,,,
"BM_cache_size/207",2535249,277.545,277.545,ns,7.38258e+09,,,,
"BM_cache_size/222",2523345,276.283,276.281,ns,7.41637e+09,,,,
"BM_cache_size/238",2519973,278.374,278.367,ns,7.36079e+09,,,,
"BM_cache_size/255",2523433,279.285,279.284,ns,7.33662e+09,,,,
