Run on (24 X 2794 MHz CPU s)
2017-01-30 14:06:22
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_cache_size/1",1911780,366.161,366.141,ns,5.59621e+09,,,,
"BM_cache_size/2",1911818,353.515,353.495,ns,5.7964e+09,,,,
"BM_cache_size/3",2184801,320.384,320.37,ns,6.39574e+09,,,,
"BM_cache_size/4",2184948,320.385,320.369,ns,6.39574e+09,,,,
"BM_cache_size/5",2185006,320.376,320.363,ns,6.39587e+09,,,,
"BM_cache_size/6",2184288,320.395,320.379,ns,6.39554e+09,,,,
"BM_cache_size/7",2184310,320.397,320.384,ns,6.39546e+09,,,,
"BM_cache_size/8",2184708,320.387,320.372,ns,6.39568e+09,,,,
"BM_cache_size/9",2184244,320.374,320.36,ns,6.39593e+09,,,,
"BM_cache_size/10",2185030,320.385,320.368,ns,6.39577e+09,,,,
"BM_cache_size/11",2184997,320.377,320.362,ns,6.39588e+09,,,,
"BM_cache_size/12",2184823,320.377,320.362,ns,6.39589e+09,,,,
"BM_cache_size/13",2185004,320.379,320.364,ns,6.39584e+09,,,,
"BM_cache_size/14",2184858,320.385,320.369,ns,6.39575e+09,,,,
"BM_cache_size/15",2184989,320.38,320.364,ns,6.39585e+09,,,,
"BM_cache_size/17",2184901,320.384,320.368,ns,6.39576e+09,,,,
"BM_cache_size/18",2184986,320.399,320.385,ns,6.39543e+09,,,,
"BM_cache_size/19",2184925,320.402,320.388,ns,6.39537e+09,,,,
"BM_cache_size/21",2184875,320.379,320.364,ns,6.39584e+09,,,,
"BM_cache_size/22",2184913,320.387,320.37,ns,6.39572e+09,,,,
"BM_cache_size/24",2184908,320.377,320.362,ns,6.39589e+09,,,,
"BM_cache_size/25",2184899,320.378,320.364,ns,6.39585e+09,,,,
"BM_cache_size/27",2184843,320.388,320.373,ns,6.39567e+09,,,,
"BM_cache_size/29",2184858,320.391,320.376,ns,6.39561e+09,,,,
"BM_cache_size/31",2184977,320.379,320.365,ns,6.39582e+09,,,,
"BM_cache_size/34",2184845,320.378,320.365,ns,6.39584e+09,,,,
"BM_cache_size/36",2185000,320.385,320.37,ns,6.39572e+09,,,,
"BM_cache_size/39",2185021,320.38,320.365,ns,6.39583e+09,,,,
