Run on (2 X 3400 MHz CPU s)
2017-01-30 15:08:56
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
1024,1,1237511,551.137,551.082,ns,1.85816e+09,,,,
1024,2,2506737,282.107,282.107,ns,1.81492e+09,,,,
1024,4,4877658,144.401,144.393,ns,1.77294e+09,,,,
1024,8,9441985,73.4013,73.4012,ns,1.74384e+09,,,,
1024,16,17871122,39.4876,39.4875,ns,1.62077e+09,,,,
1024,32,33388350,20.4095,20.4094,ns,1.5679e+09,,,,
1024,64,78909046,8.84575,8.84573,ns,1.80878e+09,,,,
1024,128,175223769,4.00725,4.00724,ns,1.99639e+09,,,,
1024,256,298960322,2.32961,2.32961,ns,1.71703e+09,,,,
1024,512,434287569,1.63458,1.63454,ns,1.22358e+09,,,,
1024,60,69351720,9.95498,9.95469,ns,1.71443e+09,,,,
2048,1,628268,1123.73,1123.66,ns,1.82261e+09,,,,
2048,2,1239186,554.652,554.65,ns,1.84621e+09,,,,
2048,4,2516512,281.789,281.789,ns,1.81696e+09,,,,
2048,8,4898569,142.083,142.082,ns,1.80177e+09,,,,
2048,16,9310711,73.6141,73.6139,ns,1.7388e+09,,,,
2048,32,16642141,40.4735,40.4734,ns,1.58129e+09,,,,
2048,64,34105937,20.3364,20.3363,ns,1.57354e+09,,,,
2048,128,78564812,8.75162,8.75166,ns,1.82822e+09,,,,
2048,256,174318110,3.99194,3.99192,ns,2.00405e+09,,,,
2048,512,301171106,2.33038,2.33039,ns,1.71645e+09,,,,
2048,60,29702053,23.8173,23.8174,ns,1.43312e+09,,,,
4096,1,318708,2212.33,2212.34,ns,1.85144e+09,,,,
4096,2,628069,1106.47,1106.47,ns,1.85092e+09,,,,
4096,4,1254898,555.953,555.922,ns,1.84199e+09,,,,
4096,8,2506870,278.985,278.984,ns,1.83523e+09,,,,
4096,16,4876322,143.184,143.184,ns,1.78791e+09,,,,
4096,32,9346810,73.8558,73.8556,ns,1.73311e+09,,,,
4096,64,17772502,39.4461,39.4439,ns,1.62256e+09,,,,
4096,128,33100819,21.0753,21.0749,ns,1.51839e+09,,,,
4096,256,78887394,8.99013,8.9901,ns,1.77974e+09,,,,
4096,512,170441314,4.12124,4.12122,ns,1.94117e+09,,,,
4096,60,16583115,42.0707,42.0681,ns,1.62277e+09,,,,
8192,1,158947,4436.03,4436.02,ns,1.8467e+09,,,,
8192,2,311168,2216.27,2216.26,ns,1.84816e+09,,,,
8192,4,635438,1104.86,1104.85,ns,1.85364e+09,,,,
8192,8,1249885,560.505,560.502,ns,1.82693e+09,,,,
8192,16,2482463,281.518,281.517,ns,1.81872e+09,,,,
8192,32,4876101,142.553,142.554,ns,1.79581e+09,,,,
8192,64,9371797,74.0515,74.0513,ns,1.72853e+09,,,,
8192,128,17731879,39.526,39.5262,ns,1.61918e+09,,,,
8192,256,33497570,20.6636,20.6623,ns,1.54872e+09,,,,
8192,512,78067679,8.87276,8.87273,ns,1.80328e+09,,,,
8192,60,8915281,79.0012,79.0011,ns,1.72825e+09,,,,
16384,1,78657,8861.35,8861.32,ns,1.84894e+09,,,,
16384,2,156585,4417.21,4416.95,ns,1.85468e+09,,,,
16384,4,309741,2233.83,2233.82,ns,1.83363e+09,,,,
16384,8,622804,1121.3,1121.3,ns,1.82646e+09,,,,
16384,16,1225464,634.442,634.445,ns,1.61401e+09,,,,
16384,32,1977409,281.208,281.21,ns,1.82071e+09,,,,
16384,64,4909797,142.979,142.973,ns,1.79055e+09,,,,
16384,128,9332564,73.7415,73.7413,ns,1.7358e+09,,,,
16384,256,17736114,39.2619,39.2618,ns,1.63008e+09,,,,
16384,512,33831362,20.8568,20.8567,ns,1.53428e+09,,,,
16384,60,4618330,151.73,151.722,ns,1.79979e+09,,,,
32768,1,39755,17613.1,17613.1,ns,1.86044e+09,,,,
32768,2,79431,8832.55,8832.52,ns,1.85496e+09,,,,
32768,4,156364,4521.7,4521.66,ns,1.81173e+09,,,,
32768,8,315555,2210.14,2210.02,ns,1.85338e+09,,,,
32768,16,631115,1247.39,1247.39,ns,1.64183e+09,,,,
32768,32,1250865,589.584,589.583,ns,1.73682e+09,,,,
32768,64,2505159,295.955,295.954,ns,1.73e+09,,,,
32768,128,4806715,150.526,150.526,ns,1.7007e+09,,,,
32768,256,9451644,74.2017,74.1985,ns,1.7251e+09,,,,
32768,512,17707406,39.4335,39.4337,ns,1.62298e+09,,,,
32768,60,2347366,299.577,299.578,ns,1.82301e+09,,,,
65536,1,19992,35102.1,35102.3,ns,1.867e+09,,,,
65536,2,39834,17540,17539.2,ns,1.86827e+09,,,,
65536,4,79362,8838.99,8838.97,ns,1.85361e+09,,,,
65536,8,156164,4454.48,4454.26,ns,1.83914e+09,,,,
65536,16,318803,2200.97,2200.98,ns,1.86099e+09,,,,
65536,32,614599,1132.11,1132.05,ns,1.80911e+09,,,,
65536,64,1178433,584.728,584.727,ns,1.75124e+09,,,,
65536,128,2440899,284.964,284.964,ns,1.79672e+09,,,,
65536,256,4768962,146.717,146.714,ns,1.74489e+09,,,,
65536,512,8999271,75.8515,75.8514,ns,1.68751e+09,,,,
65536,60,1127928,624.486,624.456,ns,1.74915e+09,,,,
131072,1,9988,70015.6,70015.4,ns,1.87205e+09,,,,
131072,2,19845,35101,35100.8,ns,1.86708e+09,,,,
131072,4,39950,17486.3,17486.3,ns,1.87393e+09,,,,
131072,8,79723,8776.31,8775.83,ns,1.86695e+09,,,,
131072,16,156515,4424.17,4424.16,ns,1.85165e+09,,,,
131072,32,304956,2291.39,2291.39,ns,1.78756e+09,,,,
131072,64,596338,1158.34,1158.04,ns,1.7685e+09,,,,
131072,128,1276400,553.604,553.603,ns,1.8497e+09,,,,
131072,256,2493493,282.947,282.946,ns,1.80953e+09,,,,
131072,512,4805433,146.289,146.29,ns,1.74995e+09,,,,
131072,60,552111,1263.08,1263.09,ns,1.72952e+09,,,,
262144,1,4970,140310,140310,ns,1.86832e+09,,,,
262144,2,9974,69976.1,69971.3,ns,1.87323e+09,,,,
262144,4,20056,34931.7,34931.3,ns,1.87614e+09,,,,
262144,8,39715,17603.7,17603.7,ns,1.86142e+09,,,,
262144,16,76128,9208.55,9208.5,ns,1.77923e+09,,,,
262144,32,132416,5265.92,5265.91,ns,1.55567e+09,,,,
262144,64,207232,3394.16,3394.15,ns,1.20678e+09,,,,
262144,128,408212,1718.92,1718.93,ns,1.19144e+09,,,,
262144,256,833753,847.353,847.357,ns,1.20846e+09,,,,
262144,512,1669097,420.72,420.722,ns,1.21696e+09,,,,
262144,60,204081,3455.65,3455.64,ns,1.26433e+09,,,,
524288,1,2494,282825,282822,ns,1.85378e+09,,,,
524288,2,4975,140742,140743,ns,1.86257e+09,,,,
524288,4,9951,69935.3,69935.1,ns,1.8742e+09,,,,
524288,8,19853,35341.7,35339.7,ns,1.85446e+09,,,,
524288,16,37411,18634,18634,ns,1.75851e+09,,,,
524288,32,57701,12201.8,12201.7,ns,1.34276e+09,,,,
524288,64,63215,11020.1,11020.1,ns,7.43371e+08,,,,
524288,128,125305,5573.53,5573.51,ns,7.34905e+08,,,,
524288,256,246619,2850.74,2850.74,ns,7.1841e+08,,,,
524288,512,537058,1294.49,1294.5,ns,7.91039e+08,,,,
524288,60,63271,11059.2,11059.2,ns,7.90122e+08,,,,
1048576,1,1242,564605,564601,ns,1.8572e+09,,,,
1048576,2,2491,279869,279853,ns,1.87344e+09,,,,
1048576,4,4988,141617,141616,ns,1.85108e+09,,,,
1048576,8,10059,77690.5,77690.2,ns,1.68711e+09,,,,
1048576,16,18840,37350.9,37350.7,ns,1.75461e+09,,,,
1048576,32,28772,24336.5,24335,ns,1.34654e+09,,,,
1048576,64,31859,22207.4,22207.4,ns,7.37772e+08,,,,
1048576,128,62189,11170.6,11170.5,ns,7.33358e+08,,,,
1048576,256,123640,5729.81,5729.84,ns,7.14855e+08,,,,
1048576,512,269639,2604.13,2604.14,ns,7.86439e+08,,,,
1048576,60,31832,21952.8,21951.7,ns,7.96125e+08,,,,
2097152,1,624,1.12699e+06,1.12699e+06,ns,1.86085e+09,,,,
2097152,2,1246,566393,566391,ns,1.85133e+09,,,,
2097152,4,2466,282440,282439,ns,1.85629e+09,,,,
2097152,8,4984,141229,141220,ns,1.85629e+09,,,,
2097152,16,9316,75623.9,75623.7,ns,1.73321e+09,,,,
2097152,32,14217,49037.6,49037.4,ns,1.33645e+09,,,,
2097152,64,15638,44794.5,44794.1,ns,7.31525e+08,,,,
2097152,128,30514,22817.2,22815.9,ns,7.18097e+08,,,,
2097152,256,61296,11538.6,11538.6,ns,7.09967e+08,,,,
2097152,512,133882,5215.98,5215.97,ns,7.85281e+08,,,,
2097152,60,15687,44635.1,44634.9,ns,7.83076e+08,,,,
4194304,1,315,2.27135e+06,2.26897e+06,ns,1.84855e+09,,,,
4194304,2,615,1.13208e+06,1.13208e+06,ns,1.85248e+09,,,,
4194304,4,1242,562633,562635,ns,1.86369e+09,,,,
4194304,8,2457,284381,284367,ns,1.8437e+09,,,,
4194304,16,4552,152109,152110,ns,1.72339e+09,,,,
4194304,32,6872,100907,100899,ns,1.29905e+09,,,,
4194304,64,7810,90914.5,90914.1,ns,7.20856e+08,,,,
4194304,128,15357,46293.1,46292.9,ns,7.07841e+08,,,,
4194304,256,29783,23212.9,23212.8,ns,7.05818e+08,,,,
4194304,512,66365,10355.3,10354.7,ns,7.9114e+08,,,,
4194304,60,7837,91235,91234.7,ns,7.66211e+08,,,,
8388608,1,153,4.52343e+06,4.52339e+06,ns,1.8545e+09,,,,
