Run on (4 X 2700 MHz CPU s)
2017-01-30 03:31:17
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
1024,1,1504247,471.208,464.966,ns,2.20231e+09,,,,
1024,2,2913777,239.062,237.563,ns,2.15522e+09,,,,
1024,4,5575912,127.239,123.318,ns,2.07593e+09,,,,
1024,8,10937500,64.751,64.0863,ns,1.99731e+09,,,,
1024,16,19314234,35.816,35.7298,ns,1.79122e+09,,,,
1024,32,46594911,15.207,15.132,ns,2.11473e+09,,,,
1024,64,98481971,7.49687,7.45151,ns,2.14722e+09,,,,
1024,128,186529381,3.7972,3.79129,ns,2.1101e+09,,,,
1024,256,294272202,2.42416,2.41909,ns,1.65352e+09,,,,
1024,512,353084190,2.03088,2.01829,ns,9.90938e+08,,,,
1024,60,81436067,9.08214,8.85555,ns,1.92723e+09,,,,
2048,1,715030,984.364,971.639,ns,2.10778e+09,,,,
2048,2,1475501,484.029,481.089,ns,2.12851e+09,,,,
2048,4,2914420,236.992,236.636,ns,2.16366e+09,,,,
2048,8,5637433,123.41,123.253,ns,2.07703e+09,,,,
2048,16,10330883,62.9221,62.8981,ns,2.03504e+09,,,,
2048,32,19624664,35.478,35.4062,ns,1.8076e+09,,,,
2048,64,46648007,14.7457,14.7391,ns,2.17109e+09,,,,
2048,128,93122256,7.3308,7.31858,ns,2.18622e+09,,,,
2048,256,188691960,3.83883,3.83595,ns,2.08554e+09,,,,
2048,512,286049372,2.3663,2.36555,ns,1.69094e+09,,,,
2048,60,28308792,24.544,24.5345,ns,1.39124e+09,,,,
4096,1,388285,1792.12,1791.48,ns,2.28638e+09,,,,
4096,2,765312,907.8,907.022,ns,2.25794e+09,,,,
4096,4,1506121,455.682,455.599,ns,2.24759e+09,,,,
4096,8,2917882,230.328,230.159,ns,2.22455e+09,,,,
4096,16,5924873,118.687,118.63,ns,2.15797e+09,,,,
4096,32,10585371,64.5265,64.4789,ns,1.98515e+09,,,,
4096,64,20012064,34.6153,34.6036,ns,1.84952e+09,,,,
4096,128,47208940,14.7512,14.7426,ns,2.17058e+09,,,,
4096,256,95225139,7.23336,7.22985,ns,2.21305e+09,,,,
4096,512,186843047,3.79994,3.79748,ns,2.10666e+09,,,,
4096,60,18929612,36.6475,36.6346,ns,1.86345e+09,,,,
8192,1,202292,3458.25,3455.64,ns,2.37062e+09,,,,
8192,2,379987,1809.85,1808.95,ns,2.2643e+09,,,,
8192,4,739215,922.956,921.943,ns,2.2214e+09,,,,
8192,8,1518201,459.873,459.606,ns,2.228e+09,,,,
8192,16,2952490,233.019,232.801,ns,2.1993e+09,,,,
8192,32,5838393,118.813,118.759,ns,2.15563e+09,,,,
8192,64,10847500,64.5497,64.5371,ns,1.98336e+09,,,,
8192,128,19729258,35.2689,35.2632,ns,1.81492e+09,,,,
8192,256,46611975,14.8818,14.8727,ns,2.15159e+09,,,,
8192,512,93858943,7.72092,7.6154,ns,2.10101e+09,,,,
8192,60,10149193,70.8325,69.2287,ns,1.97221e+09,,,,
16384,1,102109,6898.18,6893.96,ns,2.37657e+09,,,,
16384,2,191545,3560.58,3557.93,ns,2.30246e+09,,,,
16384,4,398801,1814.15,1812.41,ns,2.25997e+09,,,,
16384,8,755018,885.848,884.582,ns,2.31522e+09,,,,
16384,16,1530774,459.596,457.838,ns,2.2366e+09,,,,
16384,32,2952005,238.936,238.801,ns,2.14404e+09,,,,
